seismic(sensit) error,seismic (sensit) cp,seismic delayed error,seismic delayed cp,Connect-4 error,Connect-4 cp,Connect-4 delayed error,Connect-4 delayed cp,protein error,protein cp,protein delayed error,protein delayed cp,mnist error,mnist cp,mnist delayed error,mnist delayed cp
1,0.134965,1,0.134965,1,0.0213444,1,0.0147515,1,0.0172972,1,0.0149108,1,0.0963048,,
0.865035,0.100887,0.865035,0.100887,0.957311,0.0188452,0.909796,0.00948003,0.913462,0.0161998,0.850021,0.00459866,0.903695,0.0948027,,
0.764148,0.0498844,0.764148,0.0498844,0.938466,0.0126975,0.890836,0.00835009,0.897262,0.0083612,0.840824,0.00449415,0.808893,0.0730407,,
0.714264,0.0246245,0.714264,0.032172,0.925768,0.00728239,0.856938,0.00508475,0.847722,0.00674122,0.836329,0.00426421,0.735852,0.0710504,,
0.689639,0.0174837,0.682092,0.00952962,0.889227,0.00574548,0.846768,0.00426602,0.834239,0.005818,0.815008,0.003449,0.593751,0.0655488,,
0.672156,0.0121725,0.663033,0.0088816,0.883482,0.00525711,0.829704,0.00389256,0.816785,0.0055393,0.804661,0.00323997,0.528202,0.0580946,,
0.659983,0.00724251,0.64527,0.00693756,0.872968,0.00456765,0.814134,0.00365795,0.811246,0.00428512,0.801421,0.00271739,0.470108,0.0162792,,
0.652741,0.00603542,0.638332,0.00498081,0.854697,0.00346644,0.80316,0.00325577,0.806961,0.00308319,0.795987,0.00267559,0.453829,0.0156596,,
0.632945,0.00534929,0.633351,0.00486646,0.844298,0.00328641,0.793393,0.00319831,0.800794,0.00303094,0.782609,0.00250836,0.438169,0.0128619,,
0.622246,0.00452339,0.623618,0.00432009,0.810687,0.0030451,0.780408,0.00301637,0.797763,0.00282191,0.7801,0.00219482,0.425307,0.0120358,,
0.617723,0.00312571,0.619298,0.00233793,0.801551,0.00301637,0.774375,0.00298765,0.794941,0.00219482,0.777906,0.00198579,0.413271,0.0112096,,
0.614597,0.00299865,0.61696,0.00213463,0.792186,0.00255674,0.771388,0.00281528,0.788252,0.00206417,0.773934,0.00188127,0.390852,0.00723835,,
0.611598,0.00271912,0.610556,0.00208381,0.787073,0.00235564,0.768572,0.00249928,0.774038,0.00198579,0.76829,0.00167224,0.376375,0.00721018,,
0.608879,0.0020584,0.608472,0.00204569,0.784717,0.00229819,0.763574,0.00229819,0.772053,0.00191611,0.759929,0.00141095,0.369165,0.00668444,,
0.606821,0.00170263,0.604381,0.0018551,0.780121,0.00183855,0.761276,0.00201092,0.757002,0.00188127,0.757107,0.0013587,0.362481,0.00630891,,
0.605118,0.00162639,0.602526,0.00175345,0.778282,0.0017811,0.755243,0.00192473,0.755121,0.00177676,0.738712,0.00130644,0.356172,0.00514477,,
0.600213,0.00137227,0.600773,0.00155015,0.77472,0.00160873,0.747544,0.0017811,0.749791,0.00170708,0.736099,0.00125418,0.351027,0.00460025,,
0.598841,0.00127062,0.597672,0.00136591,0.773111,0.00140764,0.745763,0.00149382,0.74467,0.00167224,0.733591,0.00120192,0.346427,0.00439371,,
0.597571,0.00119438,0.592209,0.00133415,0.770296,0.00137891,0.744269,0.00145552,0.732337,0.00156773,0.731187,0.00114967,0.342033,0.00437493,,
0.596376,0.0011012,0.585246,0.0012452,0.767538,0.001264,0.738351,0.00142679,0.730769,0.00146321,0.728888,0.00104515,0.337658,0.00413083,,
0.591878,0.000965668,0.584,0.00120073,0.763746,0.00123528,0.72979,0.00124485,0.724916,0.0013587,0.726798,0.000992893,0.333527,0.00367081,,
0.590913,0.000955503,0.579197,0.00116897,0.758805,0.00119697,0.726056,0.00123528,0.722199,0.00125418,0.724812,0.000940635,0.326186,0.00314507,,
0.579731,0.000940256,0.573963,0.00109273,0.748061,0.00116825,0.721344,0.00120655,0.718436,0.00114967,0.717809,0.000888378,0.319896,0.0030418,,
0.576021,0.000889431,0.57287,0.00106732,0.744556,0.00106866,0.717725,0.0011491,0.714987,0.00104515,0.714256,0.00083612,0.316854,0.00279144,,
0.575132,0.000787782,0.571802,0.000914843,0.739213,0.00106291,0.714278,0.00109164,0.708717,0.00101031,0.704118,0.000766444,0.308479,0.00264749,,
0.574344,0.000779311,0.570888,0.000813194,0.73387,0.00105334,0.712094,0.00103419,0.70464,0.000975474,0.697742,0.000757734,0.305832,0.00242217,,
0.572006,0.000736957,0.570074,0.000736957,0.728239,0.00103419,0.71106,0.00101503,0.694503,0.000940635,0.694712,0.000731605,0.30341,0.00230951,,
0.570532,0.000711545,0.567076,0.000711545,0.727205,0.000948003,0.708015,0.00100546,0.688232,0.000905797,0.69398,0.000689799,0.298791,0.00217808,,
0.56982,0.000686133,0.566364,0.000686133,0.725309,0.000919276,0.706004,0.000976731,0.685514,0.000888378,0.690531,0.000686813,0.296613,0.00197153,,
0.569134,0.000609896,0.565678,0.000635308,0.722551,0.000900125,0.694226,0.000948003,0.683737,0.00083612,0.685723,0.000679348,0.290604,0.00189643,,
0.567914,0.000584483,0.565043,0.000622602,0.718759,0.000861821,0.69233,0.000919276,0.676212,0.000731605,0.683006,0.00062709,0.288708,0.00187765,,
0.566161,0.000571777,0.563798,0.000601425,0.713646,0.000833094,0.689572,0.000900125,0.659385,0.000679348,0.667851,0.000597229,0.28683,0.00170866,,
0.565017,0.000559071,0.561993,0.000559071,0.710313,0.000823518,0.686872,0.000890549,0.653951,0.000668896,0.663671,0.000582298,0.283413,0.00161478,,
0.564458,0.000482834,0.561434,0.000533659,0.707843,0.000804367,0.68509,0.000861821,0.647993,0.000661929,0.658236,0.000574833,0.281798,0.001596,,
0.56301,0.000476481,0.560367,0.000525188,0.703016,0.000746912,0.680781,0.00084267,0.643081,0.00062709,0.652487,0.000557414,0.280202,0.00156784,,
0.561104,0.000470128,0.558791,0.000520952,0.693939,0.000718184,0.678253,0.000804367,0.619252,0.000592252,0.647471,0.000539994,0.277066,0.00154906,,
0.560164,0.000457422,0.55775,0.000508246,0.692502,0.000689457,0.675036,0.000775639,0.607964,0.000574833,0.641095,0.000522575,0.273968,0.00153967,,
0.559249,0.000432009,0.554192,0.000482834,0.689744,0.000632002,0.671933,0.000689457,0.602111,0.000557414,0.631271,0.000505156,0.272429,0.00146457,,
0.557953,0.000406597,0.552337,0.000457422,0.687216,0.000603275,0.668486,0.00066073,0.596885,0.000522575,0.62824,0.000496447,0.269499,0.00133313,,
0.556326,0.000393891,0.55005,0.000448951,0.68239,0.000574548,0.667165,0.000632002,0.571802,0.000496447,0.626254,0.000487737,0.268166,0.00131436,,
0.55193,0.000381185,0.548703,0.000406597,0.679517,0.000551566,0.665901,0.000612851,0.569816,0.000487737,0.624791,0.000470318,0.266852,0.00129558,,
0.550786,0.000355772,0.548296,0.000398126,0.675151,0.000517093,0.661534,0.000603275,0.56365,0.000470318,0.620088,0.000452899,0.265556,0.00126429,,
0.535437,0.000336713,0.547102,0.000381185,0.666533,0.000488365,0.660327,0.000574548,0.557588,0.000452899,0.616012,0.000432991,0.261763,0.00112659,,
0.532896,0.00033036,0.546721,0.000368479,0.659925,0.00047879,0.656306,0.00054582,0.553303,0.00041806,0.611413,0.00041806,0.260637,0.00110781,,
0.531905,0.000317654,0.545577,0.000362125,0.658489,0.000459638,0.654122,0.000517093,0.521112,0.000391931,0.589047,0.000391931,0.259529,0.00108904,,
0.53127,0.000304948,0.543519,0.000355772,0.655271,0.000440486,0.649239,0.000488365,0.513169,0.000383222,0.586957,0.000383222,0.256262,0.00103271,,
0.529745,0.000292242,0.541384,0.000343066,0.649813,0.000430911,0.639471,0.000459638,0.508466,0.000365803,0.584657,0.000365803,0.255229,0.000957603,,
0.529161,0.000288006,0.540698,0.00033036,0.648951,0.000402183,0.637633,0.000440486,0.486518,0.000348384,0.575564,0.000348384,0.254272,0.000938826,,
0.528297,0.000279535,0.538716,0.000324007,0.635794,0.000383032,0.635852,0.000430911,0.481187,0.000339674,0.566785,0.000339674,0.251455,0.000910661,,
0.524383,0.000266829,0.53742,0.000321889,0.634645,0.00036388,0.632405,0.000421335,0.478365,0.000313545,0.565426,0.000334448,0.249634,0.000882497,,
0.522401,0.000254123,0.535768,0.000313419,0.633554,0.000344729,0.63114,0.000411759,0.450878,0.000278707,0.563754,0.000313545,0.248751,0.000873108,,
0.520622,0.000241417,0.534828,0.000304948,0.629762,0.000328313,0.62867,0.000402183,0.444816,0.000261288,0.532086,0.000296126,0.247005,0.000857461,,
0.517751,0.000235064,0.533608,0.000292242,0.626602,0.000325577,0.623442,0.00038782,0.432483,0.000253822,0.529891,0.000292642,0.2431,0.000844943,,
0.51681,0.000228711,0.533023,0.000284618,0.623671,0.000321747,0.620339,0.000383032,0.430393,0.000243868,0.528428,0.000287416,0.24141,0.000835555,,
0.510864,0.00022024,0.53099,0.000279535,0.622063,0.000316001,0.617236,0.000373456,0.42778,0.000235159,0.527278,0.000278707,0.239739,0.000788614,,
0.510203,0.000216005,0.530152,0.000254123,0.618558,0.000306425,0.61649,0.00036388,0.426839,0.00020903,0.518081,0.000274352,0.238161,0.000769837,,
0.507789,0.000211769,0.528881,0.000245652,0.617639,0.000287274,0.612755,0.000344729,0.407922,0.000174192,0.515886,0.000271739,0.237392,0.000751061,,
0.506061,0.000208381,0.528144,0.000241417,0.607527,0.00027291,0.607584,0.000335153,0.405414,0.000156773,0.514528,0.000261288,0.235889,0.000732284,,
0.504307,0.000203299,0.526696,0.000228711,0.605343,0.000268122,0.604884,0.000333238,0.403219,0.000104515,0.504285,0.000243868,0.235157,0.00070412,,
0.501258,0.000194828,0.524637,0.000216005,0.602471,0.000258546,0.601953,0.000330365,0.395589,5.22575E-05,0.501359,0.00020903,0.232679,0.000694731,,
0.500673,0.000190592,0.524205,0.000211769,0.596955,0.000248971,0.60023,0.000325577,0.394753,0.000041806,0.487563,0.000194099,0.231289,0.000675955,,
0.49925,0.000186357,0.52357,0.000208381,0.594887,0.000244183,0.598564,0.000319193,0.394544,3.48384E-05,0.486204,0.000182901,0.230613,0.000657178,,
0.498691,0.000177886,0.522528,0.000203299,0.592014,0.000239395,0.594887,0.000287274,0.39444,0,0.482546,0.000174192,0.228642,0.000638402,,
0.492923,0.000172804,0.517496,0.000196945,0.588796,0.000229819,0.589199,0.00028089,,,0.480456,0.000167224,0.228003,0.000629013,,
0.492059,0.000169415,0.516505,0.000194828,0.58035,0.000218328,0.586671,0.00027291,,,0.479201,0.000156773,0.226107,0.000619625,,
0.491373,0.00016518,0.514167,0.000190592,0.578742,0.000215455,0.585579,0.000268122,,,0.472408,0.000149307,0.225487,0.000600849,,
0.489416,0.000160945,0.513507,0.000186357,0.576788,0.000210667,0.584774,0.000264292,,,0.471363,0.000143708,0.224286,0.00059146,,
0.486595,0.000152474,0.512948,0.000177886,0.573973,0.000201092,0.583453,0.00026265,,,0.470213,0.000139353,0.223103,0.000582072,,
0.482173,0.000144003,0.508043,0.000171533,0.569319,0.0001979,0.579776,0.000258546,,,0.468123,0.000130644,0.222521,0.000544519,,
0.481131,0.000139768,0.507001,0.00016518,0.566561,0.000191516,0.573169,0.000252801,,,0.466346,0.000121934,0.221432,0.000525743,,
0.477218,0.000135532,0.502274,0.000162639,0.5657,0.000172364,0.571043,0.000248971,,,0.464151,0.000104515,0.219329,0.000506966,,
0.475287,0.000132144,0.501461,0.000160945,0.55507,0.000160873,0.569549,0.00024131,,,0.457567,9.14507E-05,0.217808,0.00048819,,
0.47394,0.000127062,0.497878,0.000152474,0.55283,0.000153213,0.565182,0.000229819,,,0.456835,8.70959E-05,0.216343,0.000469413,,
0.461843,0.000122826,0.491017,0.000147391,0.550417,0.000149382,0.551106,0.000215455,,,0.45579,0.000083612,0.213527,0.000450637,,
0.46042,0.000120709,0.488882,0.000146121,0.547371,0.000143637,0.550244,0.000210667,,,0.454954,8.12895E-05,0.212175,0.000441248,,
0.459607,0.000118591,0.488298,0.000144003,0.541454,0.000137891,0.545361,0.000205196,,,0.454222,7.83863E-05,0.21041,0.000438119,,
0.45422,0.000114355,0.486138,0.000139768,0.540477,0.000134061,0.543924,0.000201092,,,0.453386,6.96767E-05,0.208645,0.00043186,,
0.443089,0.00011012,0.484181,0.000137227,0.537834,0.000131325,0.538006,0.000196988,,,0.452341,6.65096E-05,0.207349,0.000413083,,
0.441031,0.000108002,0.483495,0.000135532,0.536225,0.000129273,0.536627,0.000195346,,,0.45161,0.000062709,0.205284,0.000394307,,
0.440014,0.000101649,0.482682,0.000127062,0.535708,0.00011491,0.535651,0.000191516,,,0.450355,5.22575E-05,0.202486,0.000384919,,
0.426088,9.65668E-05,0.476176,0.000122826,0.522953,0.000103419,0.53071,0.000186728,,,0.448579,3.48384E-05,0.201153,0.00037553,,
0.424411,9.31785E-05,0.475439,0.000121979,0.521689,0.000100546,0.529216,0.00018194,,,0.44837,2.61288E-05,0.199651,0.000356754,,
0.422658,8.89431E-05,0.474499,0.000118591,0.521057,9.57579E-05,0.527032,0.000172364,,,0.448056,0,0.198224,0.000347366,,
0.41356,8.64019E-05,0.47211,0.000116897,0.518874,9.19276E-05,0.514105,0.000166619,,,,,0.196478,0.000337977,,
0.411781,8.47077E-05,0.471526,0.000114355,0.517667,8.61821E-05,0.512094,0.000162788,,,,,0.195126,0.000319201,,
0.406089,8.34976E-05,0.466062,0.00011012,0.512209,8.04367E-05,0.509968,0.000160873,,,,,0.19353,0.000309813,,
0.405301,0.00008259,0.465071,0.000108002,0.51106,7.66063E-05,0.508532,0.000153213,,,,,0.19291,0.000300424,,
0.403116,7.62369E-05,0.463775,0.000101649,0.509164,7.18184E-05,0.506234,0.000149382,,,,,0.192009,0.000281648,,
0.383396,7.11545E-05,0.447181,9.52962E-05,0.506866,6.89457E-05,0.5052,0.000146829,,,,,0.189756,0.000262871,,
0.38243,6.98839E-05,0.445402,9.43886E-05,0.504912,5.74548E-05,0.503016,0.000143637,,,,,0.184761,0.000244095,,
0.381058,6.77662E-05,0.444512,9.31785E-05,0.495088,4.59638E-05,0.497903,0.000137891,,,,,0.183785,0.000237836,,
0.372672,6.67073E-05,0.441031,9.14843E-05,0.494398,4.30911E-05,0.496352,0.000134061,,,,,0.182714,0.000234707,,
0.371325,0.000066072,0.440345,8.89431E-05,0.493307,4.10391E-05,0.493249,0.000129273,,,,,0.182245,0.000228448,,
0.370994,0.000065346,0.432924,8.64019E-05,0.493019,3.83032E-05,0.491008,0.0001264,,,,,0.179748,0.000225318,,
0.370461,6.35308E-05,0.430434,8.47077E-05,0.492215,3.28313E-05,0.489457,0.00011491,,,,,0.176387,0.000206542,,
0.361338,5.92954E-05,0.427435,8.34976E-05,0.491985,2.87274E-05,0.477621,0.000105334,,,,,0.172669,0.000200283,,
0.353104,5.71777E-05,0.426724,0.00008259,0.490204,2.29819E-05,0.475266,0.000103419,,,,,0.172068,0.000197153,,
0.350665,0.00005506,0.424538,8.13194E-05,0.489974,1.91516E-05,0.474749,0.000102142,,,,,0.170303,0.000187765,,
0.349673,5.08246E-05,0.424132,7.98673E-05,0.489629,1.64156E-05,0.473829,0.000100546,,,,,0.166548,0.000178377,,
0.336764,4.57422E-05,0.423572,7.94135E-05,0.489515,1.43637E-05,0.472048,9.57579E-05,,,,,0.165477,0.000175248,,
0.335443,4.44716E-05,0.421107,7.62369E-05,0.489342,0.000011491,0.470037,0.000090286,,,,,0.163994,0.000168989,,
0.333994,4.23539E-05,0.404107,7.34134E-05,0.48917,9.57579E-06,0.469405,8.61821E-05,,,,,0.156953,0.00016273,,
0.3313,4.06597E-05,0.403217,7.11545E-05,0.489112,7.18184E-06,0.46412,7.66063E-05,,,,,0.156465,0.0001596,,
0.330284,3.81185E-05,0.401515,6.98839E-05,0.489055,0,0.461362,7.18184E-05,,,,,0.155019,0.000156471,,
0.32637,3.38831E-05,0.400422,6.77662E-05,,,0.459983,6.89457E-05,,,,,0.153911,0.000154906,,
0.32482,0.000033036,0.394501,0.000066072,,,0.458604,5.74548E-05,,,,,0.153292,0.000150212,,
0.324236,3.17654E-05,0.394018,6.49426E-05,,,0.450675,5.02729E-05,,,,,0.147114,0.000145518,,
0.323626,3.04948E-05,0.393357,6.35308E-05,,,0.450043,0.000047879,,,,,0.145706,0.000140824,,
0.323321,2.82359E-05,0.386572,6.17156E-05,,,0.449469,4.59638E-05,,,,,0.144298,0.000131436,,
0.323067,2.54123E-05,0.38614,6.09896E-05,,,0.449239,4.30911E-05,,,,,0.137181,0.000125177,,
0.316205,0.000021782,0.383472,5.99005E-05,,,0.448377,3.83032E-05,,,,,0.136806,0.000122047,,
0.3159,1.90592E-05,0.380473,5.92954E-05,,,0.447687,3.44729E-05,,,,,0.136562,0.000118918,,
0.315291,1.69415E-05,0.375543,5.71777E-05,,,0.447343,3.28313E-05,,,,,0.135961,0.000112659,,
0.314452,1.52474E-05,0.374349,5.08246E-05,,,0.447113,2.87274E-05,,,,,0.129934,0.0001064,,
0.31435,1.27062E-05,0.365175,4.71943E-05,,,0.445389,1.91516E-05,,,,,0.129614,0.000103271,,
0.313181,8.47077E-06,0.364718,4.57422E-05,,,0.445102,1.43637E-05,,,,,0.128582,0.000097012,,
0.313003,6.35308E-06,0.36426,4.44716E-05,,,0.444987,0.000011491,,,,,0.127887,9.38826E-05,,
0.312902,5.08246E-06,0.361617,4.23539E-05,,,0.444872,8.83919E-06,,,,,0.121184,8.76238E-05,,
0.312851,3.63033E-06,0.359305,4.06597E-05,,,0.444757,8.20782E-06,,,,,0.120658,8.44943E-05,,
0.3128,0,0.358568,3.81185E-05,,,0.4447,0,,,,,0.119081,8.13649E-05,,
,,0.35313,3.55772E-05,,,,,,,,,0.118442,7.51061E-05,,
,,0.352647,3.38831E-05,,,,,,,,,0.11356,6.88473E-05,,
,,0.35069,0.000032673,,,,,,,,,0.113354,6.75955E-05,,
,,0.350233,3.17654E-05,,,,,,,,,0.112922,6.57178E-05,,
,,0.348606,3.04948E-05,,,,,,,,,0.111533,6.10237E-05,,
,,0.348454,2.96477E-05,,,,,,,,,0.111288,5.63296E-05,,
,,0.347742,2.54123E-05,,,,,,,,,0.105712,0.000048819,,
,,0.34299,0.000023824,,,,,,,,,0.105468,4.69413E-05,,
,,0.342558,2.25887E-05,,,,,,,,,0.10389,4.38119E-05,,
,,0.342355,2.22358E-05,,,,,,,,,0.103759,0.000037553,,
,,0.342177,2.11769E-05,,,,,,,,,0.100567,3.12942E-05,,
,,0.341897,2.03299E-05,,,,,,,,,0.100398,2.81648E-05,,
,,0.341694,1.90592E-05,,,,,,,,,0.100116,2.50354E-05,,
,,0.341186,1.69415E-05,,,,,,,,,0.100004,2.34707E-05,,
,,0.340728,1.52474E-05,,,,,,,,,0.0999099,1.87765E-05,,
,,0.340195,1.45213E-05,,,,,,,,,0.0985204,1.25177E-05,,
,,0.340093,1.27062E-05,,,,,,,,,0.0984829,9.38826E-06,,
,,0.338695,1.05885E-05,,,,,,,,,0.098389,7.51061E-06,,
,,0.338568,9.52962E-06,,,,,,,,,0.0983514,6.25884E-06,,
,,0.338492,8.47077E-06,,,,,,,,,0.0982951,5.00707E-06,,
,,0.338136,6.35308E-06,,,,,,,,,0.09822,4.69413E-06,,
,,0.337908,5.08246E-06,,,,,,,,,0.0982012,3.7553E-06,,
,,0.337831,4.23539E-06,,,,,,,,,0.0981637,3.12942E-06,,
,,0.337806,3.63033E-06,,,,,,,,,0.0981449,2.68236E-06,,
,,0.337781,0,,,,,,,,,0.0981261,2.08628E-06,,
,,,,,,,,,,,,0.0981073,0,,
